00-env	PASS	date-and-git-boundary	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/001-00-env-date-and-git-boundary.txt	
00-env	PASS	docker-compose-health-and-http-smoke	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/002-00-env-docker-compose-health-and-http-smoke.txt	
00-env	PASS	runtime-smoke-script	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/003-00-env-runtime-smoke-script.txt	
00-env	PASS	diff-whitespace-check	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/004-00-env-diff-whitespace-check.txt	
01-auth-session-rbac	PASS	keycloak-token-admin-jwks-dual-auth	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/005-01-auth-session-rbac-keycloak-token-admin-jwks-dual-auth.txt	
01-auth-session-rbac	PASS	role-boundaries-live-and-admin-reset	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/006-01-auth-session-rbac-role-boundaries-live-and-admin-reset.txt	
01-auth-session-rbac	PASS	frontend-auth-focused-vitest	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/007-01-auth-session-rbac-frontend-auth-focused-vitest.txt	
01-auth-session-rbac	PASS	playwright-keycloak-token-login-multiuser	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/008-01-auth-session-rbac-playwright-keycloak-token-login-multiuser.txt	
01-auth-session-rbac	PASS	playwright-token-isolation-and-logout	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/009-01-auth-session-rbac-playwright-token-isolation-and-logout.txt	
01-auth-session-rbac	DEFERRED	smtp-verifyEmail-password-reset-live-send	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/010-01-auth-session-rbac-smtp-verifyemail-password-reset-live-send-deferred.txt	Founder explicitly deferred SMTP. Keep customer_onboarding/production_go non-PASS until RUN_SMTP=1 and live-send passes.
02-tenant-idor-route-boundary	PASS	cross-tenant-and-unauth-boundaries	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/011-02-tenant-idor-route-boundary-cross-tenant-and-unauth-boundaries.txt	
02-tenant-idor-route-boundary	PASS	route-inventory-unknown-risk-scan	docs/qa/2026-09-12-p0-gates-after-boundary-spine-fixes/evidence/terminal/012-02-tenant-idor-route-boundary-route-inventory-unknown-risk-scan.txt	
